,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Downtown Toronto,Regent Park / Harbourfront-Toronto,43.6542599,-79.3606359,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
1,Downtown Toronto,Regent Park / Harbourfront-Toronto,43.6542599,-79.3606359,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
2,Downtown Toronto,Regent Park / Harbourfront-Toronto,43.6542599,-79.3606359,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
3,Downtown Toronto,Regent Park / Harbourfront-Toronto,43.6542599,-79.3606359,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
4,Downtown Toronto,Regent Park / Harbourfront-Toronto,43.6542599,-79.3606359,Starbucks,43.651613,-79.364917,Coffee Shop
5,Downtown Toronto,Regent Park / Harbourfront-Toronto,43.6542599,-79.3606359,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
6,Downtown Toronto,Regent Park / Harbourfront-Toronto,43.6542599,-79.3606359,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
7,Downtown Toronto,Regent Park / Harbourfront-Toronto,43.6542599,-79.3606359,FUEL+,43.653193,-79.355867,Coffee Shop
8,Downtown Toronto,Queen's Park / Ontario Provincial Government-Toronto,43.6623015,-79.3894938,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
9,Downtown Toronto,Queen's Park / Ontario Provincial Government-Toronto,43.6623015,-79.3894938,Neo Coffee Bar,43.66014,-79.38587,Coffee Shop
10,Downtown Toronto,Queen's Park / Ontario Provincial Government-Toronto,43.6623015,-79.3894938,Starbucks,43.65945605353152,-79.39041123272168,Coffee Shop
11,Downtown Toronto,Queen's Park / Ontario Provincial Government-Toronto,43.6623015,-79.3894938,Starbucks,43.658204,-79.388998,Coffee Shop
12,Downtown Toronto,Queen's Park / Ontario Provincial Government-Toronto,43.6623015,-79.3894938,Tim Hortons,43.6610382,-79.3937966,Coffee Shop
13,Downtown Toronto,Queen's Park / Ontario Provincial Government-Toronto,43.6623015,-79.3894938,Starbucks,43.660887,-79.39372,Coffee Shop
14,Downtown Toronto,Queen's Park / Ontario Provincial Government-Toronto,43.6623015,-79.3894938,Tim Hortons,43.658175,-79.3906813,Coffee Shop
15,Downtown Toronto,Queen's Park / Ontario Provincial Government-Toronto,43.6623015,-79.3894938,Tim Hortons,43.6589062,-79.3886961,Coffee Shop
16,Downtown Toronto,Queen's Park / Ontario Provincial Government-Toronto,43.6623015,-79.3894938,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
17,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Blaze Pizza,43.656518,-79.380015,Pizza Place
18,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Tokyo Smoke,43.65723,-79.38087,Coffee Shop
19,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Infuse Cafe,43.658068043552504,-79.38172645275614,Coffee Shop
20,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Balzac's Coffee,43.65785440672277,-79.37919981155157,Coffee Shop
21,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
22,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Trattoria Mercatto,43.65445314470199,-79.3809741075674,Italian Restaurant
23,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
24,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Tim Hortons,43.656755,-79.380512,Coffee Shop
25,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Panago,43.65825817735338,-79.38431282558368,Pizza Place
26,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Starbucks,43.65446528594945,-79.37891894388453,Coffee Shop
27,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Starbucks,43.659509,-79.382132,Coffee Shop
28,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Donatello Restaurant,43.657489310288014,-79.38360495100461,Italian Restaurant
29,Downtown Toronto,"Garden District, Ryerson-Toronto",43.6571618,-79.37893709999999,Good Earth Coffeehouse,43.65685033174256,-79.37471866607666,Coffee Shop
30,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Terroni,43.650927,-79.375602,Italian Restaurant
31,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Fahrenheit Coffee,43.65238358726612,-79.37271903848271,Coffee Shop
32,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Versus Coffee,43.65121343781903,-79.37523564828548,Coffee Shop
33,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Carisma,43.64961671774303,-79.3754337751762,Italian Restaurant
34,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,La Bettola Di Terroni,43.65199330592565,-79.37805579614488,Italian Restaurant
35,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Starbucks,43.650159,-79.377793,Coffee Shop
36,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Starbucks,43.649328,-79.378339,Coffee Shop
37,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Everyday Gourmet (Teas & Coffees),43.64875714757637,-79.37164539765817,Coffee Shop
38,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Starbucks,43.648738309887705,-79.37251925468443,Coffee Shop
39,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Mercatto,43.6502431921682,-79.38081989149896,Italian Restaurant
40,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Tim Hortons,43.64795486604762,-79.37383309017605,Coffee Shop
41,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Starbucks,43.65446528594945,-79.37891894388453,Coffee Shop
42,Downtown Toronto,St. James Town-Toronto,43.6514939,-79.3754179,Vagabondo Ristorante & Lounge,43.64822172333574,-79.37529997897587,Italian Restaurant
43,Downtown Toronto,Berczy Park-Toronto,43.644770799999996,-79.3733064,Starbucks,43.644525,-79.36856,Coffee Shop
44,Downtown Toronto,Berczy Park-Toronto,43.644770799999996,-79.3733064,Everyday Gourmet (Teas & Coffees),43.64875714757637,-79.37164539765817,Coffee Shop
45,Downtown Toronto,Berczy Park-Toronto,43.644770799999996,-79.3733064,Mos Mos,43.64163954520267,-79.3775517786762,Coffee Shop
46,Downtown Toronto,Berczy Park-Toronto,43.644770799999996,-79.3733064,Tim Hortons,43.64795486604762,-79.37383309017605,Coffee Shop
47,Downtown Toronto,Berczy Park-Toronto,43.644770799999996,-79.3733064,Starbucks,43.648738309887705,-79.37251925468443,Coffee Shop
48,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Jimmy's Coffee,43.65842123574496,-79.38561319551111,Coffee Shop
49,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Tim Hortons,43.658569999999976,-79.38512341104502,Coffee Shop
50,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Neo Coffee Bar,43.66014,-79.38587,Coffee Shop
51,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
52,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
53,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Starbucks,43.65945605353152,-79.39041123272168,Coffee Shop
54,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Starbucks,43.6595874273128,-79.3852515870617,Coffee Shop
55,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
56,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Coffee Public,43.66076299149323,-79.38618409033066,Coffee Shop
57,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,The Library Specialty Coffee,43.65441282740799,-79.39090161351724,Coffee Shop
58,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Infuse Cafe,43.658068043552504,-79.38172645275614,Coffee Shop
59,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Sambuca Grill,43.656109861046346,-79.39294644724129,Italian Restaurant
60,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Starbucks,43.659509,-79.382132,Coffee Shop
61,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Starbucks,43.6607,-79.383553,Coffee Shop
62,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Starbucks,43.65952575859537,-79.39027029345037,Coffee Shop
63,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Tosto,43.661198,-79.386414,Italian Restaurant
64,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Tim Hortons,43.659695,-79.388706,Coffee Shop
65,Downtown Toronto,Central Bay Street-Toronto,43.6579524,-79.3873826,Second Cup,43.660721671691235,-79.38630837243234,Coffee Shop
66,Downtown Toronto,Christie-Toronto,43.669542,-79.4225637,Vinny’s Panini,43.67067884412717,-79.42614819830024,Italian Restaurant
67,Downtown Toronto,Christie-Toronto,43.669542,-79.4225637,Starbucks,43.67153,-79.4214,Coffee Shop
68,Downtown Toronto,Richmond / Adelaide / King-Toronto,43.65057120000001,-79.3845675,Pizzeria Libretto,43.64833354686235,-79.38511050184168,Pizza Place
69,Downtown Toronto,Richmond / Adelaide / King-Toronto,43.65057120000001,-79.3845675,M Square Coffee Co,43.65121797253777,-79.38355459932247,Coffee Shop
70,Downtown Toronto,Richmond / Adelaide / King-Toronto,43.65057120000001,-79.3845675,Pi Co.,43.648651,-79.385874,Pizza Place
71,Downtown Toronto,Richmond / Adelaide / King-Toronto,43.65057120000001,-79.3845675,Pilot Coffee Roasters,43.648835391245896,-79.3809358125033,Coffee Shop
72,Downtown Toronto,Richmond / Adelaide / King-Toronto,43.65057120000001,-79.3845675,HotBlack Coffee,43.65036434800487,-79.38866907575726,Coffee Shop
73,Downtown Toronto,Richmond / Adelaide / King-Toronto,43.65057120000001,-79.3845675,Starbucks,43.650751,-79.388047,Coffee Shop
74,Downtown Toronto,Richmond / Adelaide / King-Toronto,43.65057120000001,-79.3845675,Starbucks,43.646731,-79.383951,Coffee Shop
75,Downtown Toronto,Richmond / Adelaide / King-Toronto,43.65057120000001,-79.3845675,Starbucks,43.64902831957521,-79.38159290007317,Coffee Shop
76,Downtown Toronto,Richmond / Adelaide / King-Toronto,43.65057120000001,-79.3845675,Dineen @CommerceCourt,43.648250543365556,-79.38012728220869,Coffee Shop
77,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Taverna Mercatto,43.64262514139939,-79.38325673989138,Italian Restaurant
78,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Mos Mos,43.64163954520267,-79.3775517786762,Coffee Shop
79,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Lavazza Espression,43.63953746292591,-79.38176322686563,Coffee Shop
80,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Balzac's Coffee,43.644372584148364,-79.38306470027423,Coffee Shop
81,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Pilot Coffee Roasters,43.64501814464698,-79.3804150931199,Coffee Shop
82,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Pie Bar,43.63817355603517,-79.38054644461133,Pizza Place
83,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Starbucks,43.64309,-79.383071,Coffee Shop
84,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Panago,43.64251764051932,-79.38359138522554,Pizza Place
85,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Amano Pasta,43.64491852117436,-79.38235777637108,Italian Restaurant
86,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Tim Hortons,43.6387246,-79.3863403,Coffee Shop
87,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Starbucks,43.644580752794965,-79.38167197782931,Coffee Shop
88,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Aroma Espresso Bar,43.64074017304165,-79.37847790115718,Coffee Shop
89,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Starbucks,43.64265659071355,-79.3833577475679,Coffee Shop
90,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Starbucks,43.64510181136508,-79.38360972232998,Coffee Shop
91,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Piazza Manna,43.641460067165184,-79.37771914472566,Italian Restaurant
92,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Tim Hortons,43.63882773618699,-79.38037276268005,Coffee Shop
93,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Starbucks,43.640257,-79.381731,Coffee Shop
94,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands-Toronto,43.6408157,-79.38175229999999,Aria Ristorante,43.64329880302282,-79.38103414760897,Italian Restaurant
95,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,Pizzeria Libretto,43.64897862710277,-79.4206035669193,Pizza Place
96,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,Superpoint,43.648438964819064,-79.42051429823161,Pizza Place
97,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,Ufficio,43.649439390888254,-79.42301401069709,Italian Restaurant
98,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,Jimmy's Coffee,43.64452074032671,-79.4189080566799,Coffee Shop
99,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,Pilot Coffee Roasters,43.646609556865684,-79.41960592835666,Coffee Shop
100,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,The Tampered Press,43.65006186869144,-79.41728020642847,Coffee Shop
101,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Cafe Fiorentina,43.677743,-79.350115,Italian Restaurant
102,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,7 Numbers,43.677061774959824,-79.35393428891682,Italian Restaurant
103,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Pizzeria Libretto,43.678488633358,-79.34757579277853,Pizza Place
104,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Marvel Coffee Co.,43.678629530863844,-79.34746013725268,Coffee Shop
105,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Second Cup,43.677232,-79.3528982,Coffee Shop
106,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Cafe Frappe,43.67812618087551,-79.34843379217203,Coffee Shop
107,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,IL FORNELLO on Danforth,43.67860392856738,-79.34690364849348,Italian Restaurant
108,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Starbucks,43.678879,-79.346357,Coffee Shop
109,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Pilot Coffee Roasters,43.648835391245896,-79.3809358125033,Coffee Shop
110,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Starbucks,43.646731,-79.383951,Coffee Shop
111,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Pilot Coffee Roasters,43.64501814464698,-79.3804150931199,Coffee Shop
112,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Dineen @CommerceCourt,43.648250543365556,-79.38012728220869,Coffee Shop
113,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Pizzeria Libretto,43.64833354686235,-79.38511050184168,Pizza Place
114,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Starbucks,43.647261,-79.378599,Coffee Shop
115,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Balzac's Coffee,43.644372584148364,-79.38306470027423,Coffee Shop
